model,features,accuracy,precision,recall,f1,dataset
LogReg (ISOT),tfidf_text,0.9973273942093541,0.9985955056179775,0.9957983193277311,0.9971949509116409,ISOT
LinearSVC (ISOT),tfidf_text,0.9957683741648107,0.9953336444237051,0.9957983193277311,0.995565927654609,ISOT
RandomForest (ISOT),tfidf_text,0.9969933184855234,0.9958071278825996,0.9978991596638656,0.9968520461699895,ISOT
LogReg (ISOT),cv_text,0.9969933184855234,0.9969647443380808,0.9967320261437909,0.9968483716586904,ISOT
LinearSVC (ISOT),cv_text,0.9967706013363029,0.9967312631333177,0.9964985994397759,0.9966149177074822,ISOT
RandomForest (ISOT),cv_text,0.9968819599109131,0.9958061509785647,0.9976657329598506,0.9967350746268657,ISOT
LogReg (ISOT),lfs,0.7928730512249443,0.7463414634146341,0.8571428571428571,0.7979139504563233,ISOT
LinearSVC (ISOT),lfs,0.7903118040089087,0.7406293846462216,0.8625116713352008,0.7969373449800495,ISOT
RandomForest (ISOT),lfs,0.9003340757238307,0.9023984801709808,0.8870214752567693,0.8946439081812831,ISOT
LogReg (ISOT),lfs_cv,0.9973273942093541,0.9971988795518207,0.9971988795518207,0.9971988795518207,ISOT
LinearSVC (ISOT),lfs_cv,0.9966592427616926,0.9962669155389641,0.9967320261437909,0.9964994165694283,ISOT
RandomForest (ISOT),lfs_cv,0.9966592427616926,0.9964985994397759,0.9964985994397759,0.9964985994397759,ISOT
LogReg (WELFake),tfidf_text,0.9649846239865809,0.9571178921898105,0.9750753218296357,0.9660131605725527,WELFake
LinearSVC (WELFake),tfidf_text,0.9654738607771876,0.9580193756727664,0.9750753218296357,0.9664721053346003,WELFake
RandomForest (WELFake),tfidf_text,0.9481409001956947,0.9365184988022358,0.9637085729937004,0.9499190064794817,WELFake
LogReg (WELFake),cv_text,0.960791165781381,0.9503006012024048,0.9741166803615448,0.9620612700344897,WELFake
LinearSVC (WELFake),cv_text,0.9575062901873078,0.9438992042440318,0.9746644754861682,0.959035170462202,WELFake
RandomForest (WELFake),cv_text,0.949958065417948,0.942013422818792,0.9611065461517393,0.9514642082429503,WELFake
LogReg (WELFake),lfs,0.7316885658372938,0.7623087410998334,0.6891262667762257,0.7238725454937783,WELFake
LinearSVC (WELFake),lfs,0.7286133631534806,0.7633646587582807,0.6785812106272254,0.7184803886029145,WELFake
RandomForest (WELFake),lfs,0.8457506290187308,0.8447692515902017,0.8548342919748014,0.8497719692328637,WELFake
LogReg (WELFake),lfs_cv,0.9625384400335477,0.9522727272727273,0.9754861681731033,0.9637396833987282,WELFake
LinearSVC (WELFake),lfs_cv,0.9600223651104277,0.9475924447991487,0.9756231169542591,0.9614035087719298,WELFake
RandomForest (WELFake),lfs_cv,0.9509365389991613,0.9435483870967742,0.961380443714051,0.9523809523809523,WELFake
TriViewEnsemble,tfidf+cv+lfs_cv,0.9973273942093541,0.9971988795518207,0.9971988795518207,0.9971988795518207,ISOT
TriViewEnsemble,tfidf+cv+lfs_cv,0.9644953871959743,0.9547523427041499,0.9767187072035058,0.9656106146764148,WELFake
